1985;200000
1986;210000
1987;220000
1988;230000
1989;230000
1990;260000
1991;300000
1992;320000
1993;350000
1994;371000
1995;400000
1996;450700
1997;475000
1998;503000
1999;510000
2000;641000
2001;684700
2002;728400
2003;740000
2004;770000
2005;827322.5
2006;884645
2007;930000
2008;984307.3333
2009;1038614.667
2010;1092922
2011;1147229.333
2012;1201536.667
2013;1255844
2014;1270562.667
2015;1285281.333
2016;1300000
2017;1300000
